text,label
"Why did you deduct money from my account?",transactions
"I saw debit alert that I did not authorize",transactions
"Can you explain this debit on my account?",transactions
"My account balance just reduced by itself",transactions
"There is one debit I don't understand",transactions
"Money has disappeared from my account",transactions
"Who authorized this debit transaction?",transactions
"I got debit alert but I didn't spend money",transactions
"I didn't do any transaction but money reduced",transactions
"My account is going into minus",transactions
"Where did this money in my account come from?",transactions
"I received credit alert from unknown person",transactions
"Who sent me this money I'm seeing?",transactions
"My salary has not entered my account",transactions
"There is money in my account that I didn't expect",transactions
"The transfer I was expecting has not come",transactions
"Has my alert entered yet?",transactions
"Can you check if my payment has entered?",transactions
"This credit in my account is not familiar",transactions
"The money my brother sent has not entered",transactions
"What is the dollar to naira rate today?",transactions
"How much is dollar now?",transactions
"I want to change my dollars to naira",transactions
"What are your rates for foreign currency?",transactions
"How much is pounds to naira?",transactions
"What is the euro exchange rate?",transactions
"How much does international transfer cost?",transactions
"The FX charges are too much",transactions
"What rate will you use for my dollar card?",transactions
"When is the best time to buy dollar?",transactions
"Please reverse that transaction for me",transactions
"The money deducted but didn't enter recipient account",transactions
"I want my money back for failed transaction",transactions
"The failed transaction has not been reversed",transactions
"Please refund my money immediately",transactions
"I was charged two times for one purchase",transactions
"POS transaction failed but you took my money",transactions
"The reversal has not reflected in my account",transactions
"How long does refund take to show?",transactions
"You charged me twice for the same thing",transactions
"The POS is not working",transactions
"POS machine declined my card",transactions
"Supermarket POS rejected my transaction",transactions
"POS is having network issues",transactions
"The merchant POS charged extra money",transactions
"What is the transaction limit for POS?",transactions
"I didn't get alert for my POS transaction",transactions
"POS collected money but payment didn't go through",transactions
"Where are the POS agents around me?",transactions
"My POS transfer failed to deliver",transactions
"The ATM swallowed my card",transactions
"The ATM didn't give me money",transactions
"ATM said insufficient funds but I have money",transactions
"The ATM machine is faulty",transactions
"My card got stuck inside the machine",transactions
"The ATM didn't dispense any cash",transactions
"Which ATMs are working in my area now?",transactions
"There is ATM network problem",transactions
"How much is the charge for ATM withdrawal?",transactions
"What is the daily limit for ATM withdrawal?",transactions
"The mobile app is not working",transactions
"My mobile transfer is failing to go through",transactions
"The ALAT app keeps crashing on my phone",transactions
"How do I transfer money using mobile app?",transactions
"I can't login to my mobile banking",transactions
"The app is not showing my correct balance",transactions
"Where can I see my transaction history on mobile?",transactions
"What is the transfer limit on mobile banking?",transactions
"The app says I need to update but it's not working",transactions
"Is mobile banking secure for transactions?",transactions
"The USSD code is not working",transactions
"What is the USSD code to check balance?",transactions
"How do I access USSD banking menu?",transactions
"My USSD transfer failed to complete",transactions
"There is network problem with USSD banking",transactions
"How do I use USSD banking service?",transactions
"What is the USSD code for transfers?",transactions
"The USSD is not responding to my commands",transactions
"What code do I use to buy airtime?",transactions
"The USSD service is not available now",transactions
"My account is deducting money every day",transactions
"The maintenance fee is too much",transactions
"I'm being charged for SMS every day",transactions
"Bank charges are eating my money",transactions
"There was unauthorized transfer from my account",transactions
"Someone transferred money from my account without permission",transactions
"I think my account has been hacked",transactions
"There is transaction I didn't authorize",transactions
"I suspect fraudulent activity on my account",transactions
"My money has been missing since yesterday",transactions
"Where is my money that was sent?",transactions
"My transaction has been pending since morning",transactions
"The transfer is not going through at all",transactions
"My payment is hanging",transactions
"The transaction is taking too long to process",transactions
"There is network delay affecting transfers",transactions
"How long does interbank transfer take?",transactions
"The transfer to other bank hasn't been delivered",transactions
"The person I sent money to didn't receive it",transactions
"Transfer failed but money was deducted",transactions
"Failed transaction hasn't been refunded",transactions
"The transaction reversal is delayed",transactions
"The refund hasn't entered my account",transactions
"I was charged for transaction that failed",transactions
"The bank collected money for nothing",transactions
"There is transaction fee I don't recognize",transactions
"There are hidden charges on my transfers",transactions
"The COT is too much",transactions
"Why stamp duty on every transaction?",transactions
"The transfer fees have increased",transactions
"Bank charges are reducing my money",transactions
"What is this monthly account maintenance fee?",transactions
"Why VAT on bank charges?",transactions
"My transaction limit has finished",transactions
"My daily transfer limit is exhausted",transactions
"I want to increase my transaction limit",transactions
"The transaction limit is too small for me",transactions
"How can I increase my transfer limit?",transactions
"What is the limit for POS transactions?",transactions
"What is ATM withdrawal limit?",transactions
"What is mobile transfer maximum amount?",transactions
"What is USSD transaction limit?",transactions
"My transaction history is not complete",transactions
"The statement doesn't show all my transactions",transactions
"How do I download my transaction history?",transactions
"I want to print my account statement",transactions
"Can I get my transaction record for last month?",transactions
"I need all my debits for December",transactions
"I want credits for this month",transactions
"There is error in my transaction statement",transactions
"Some transactions are missing from statement",transactions
"The transaction date is wrong",transactions
"The transaction time is incorrect",transactions
"The alert came very late",transactions
"There is delay in SMS alerts",transactions
"I didn't receive alert for my transfer",transactions
"No alert came for the debit transaction",transactions
"Transaction happened without notification",transactions
"I'm having problems with bank alerts",transactions
"I'm not receiving SMS notifications",transactions
"My international transaction was declined",transactions
"I'm having trouble with overseas transfers",transactions
"My foreign transaction was blocked",transactions
"The dollar payment is not going through",transactions
"International POS declined my transaction",transactions
"My online foreign payment failed",transactions
"I'm having issues with transactions abroad",transactions
"How do I set travel notification for card?",transactions
"I want to stop recurring payment",transactions
"How do I stop automatic deduction?",transactions
"I need to cancel standing order",transactions
